Function,Package,Static,Example,Original Package,Observation,FuncType /Member/Static,Implemented In:,
Abs,Math,TRUE,Math::abs(expr),Math,,,,
ACos,Math,TRUE,,Math,,,,
AddSOAPRequestHeader,Soap,TRUE,,lucee.util.Soap,,,,
AddSOAPResponseHeader,Soap,TRUE,,lucee.util.Soap,,,,
AjaxLink,Ajax,TRUE,,,No idea what this function is all about,,,
AjaxOnLoad,Ajax,TRUE,,,No idea what this function is all about,,,
ApplicationStartTime,Application,TRUE,Application.startTime(),Application,,,,
ApplicationStop,Application,TRUE,,Application,,,,
Array,Array,FALSE,new Array(),Array,,Member,,
ArrayAppend,Array,FALSE,,Array,,Member,,
ArrayAvg,Array,FALSE,,Array,,Member,,
ArrayClear,Array,FALSE,,Array,,Member,,
ArrayContains,Array,FALSE,,Array,,Member,,
ArrayContainsNoCase,Array,FALSE,,Array,,Member,,
ArrayDelete,Array,FALSE,,Array,,Member,,
ArrayDeleteAt,Array,FALSE,,Array,,Member,,
ArrayEach,Array,FALSE,,Array,,Member,,
ArrayEvery,Array,FALSE,,Array,,Member,,
ArrayFilter,Array,FALSE,,Array,,Member,,
ArrayFind,Array,FALSE,,Array,,Member,,
ArrayFindAll,Array,FALSE,,Array,,Member,,
ArrayFindAllNoCase,Array,FALSE,,Array,,Member,,
ArrayFindNoCase,Array,FALSE,,Array,,Member,,
ArrayFirst,Array,FALSE,,Array,,Member,,
ArrayIndexExists,Array,FALSE,,Array,,Member,,
ArrayInsertAt,Array,FALSE,,Array,,Member,,
ArrayIsDefined,Array,FALSE,,Array,,Member,,
ArrayIsEmpty,Array,FALSE,,Array,,Member,,
ArrayLast,Array,FALSE,,Array,,Member,,
ArrayLen,Array,FALSE,,Array,,Member,,
ArrayMap,Array,FALSE,,Array,,Member,,
ArrayMax,Array,FALSE,,Array,,Member,,
ArrayMedian,Array,FALSE,,Array,,Member,,
ArrayMerge,Array,FALSE,,Array,,Member,,
ArrayMid,Array,FALSE,,Array,,Member,,
ArrayMin,Array,FALSE,,Array,,Member,,
ArrayNew,Array,FALSE,,Array,,Member,,
ArrayPrepend,Array,FALSE,,Array,,Member,,
ArrayReduce,Array,FALSE,,Array,,Member,,
ArrayResize,Array,FALSE,,Array,,Member,,
ArrayReverse,Array,FALSE,,Array,,Member,,
ArraySet,Array,FALSE,,Array,,Member,,
ArraySlice,Array,FALSE,,Array,,Member,,
ArraySome,Array,FALSE,,Array,,Member,,
ArraySort,Array,FALSE,,Array,,Member,,
ArraySum,Array,FALSE,,Array,,Member,,
ArraySwap,Array,FALSE,,Array,,Member,,
ArrayToList,Array,FALSE,,Array,,Member,,
ArrayToStruct,Array,FALSE,,Array,,Member,,
Asc,String,TRUE,,String,,,,
ASin,Math,TRUE,,Math,,,,
Atn,Math,TRUE,,Math,,,,
Beat,DateTime,TRUE,,DateTime,Seriously? FFS,,,
BinaryDecode,Binary,TRUE,Binary::decode(),Binary,,,lucee.util.Binary.decode(),
BinaryEncode,Binary,TRUE,myBinary.encode(),Binary,,,lucee.util.Binary.encode(),
BitAnd,Number,TRUE,,Number,,,,
BitMaskClear,Number,TRUE,,Number,,,,
BitMaskRead,Number,TRUE,,Number,,,,
BitMaskSet,Number,TRUE,,Number,,,,
BitNot,Number,TRUE,,Number,,,,
BitOr,Number,TRUE,,Number,,,,
BitSHLN,Number,TRUE,,Number,,,,
BitSHRN,Number,TRUE,,Number,,,,
BitXor,Number,TRUE,,Number,,,,
CacheClear,Cache,FALSE,,Cache,,,,
CacheCount,Cache,FALSE,,Cache,,,,
CacheDelete,Cache,FALSE,,Cache,,,,
CacheGet,Cache,FALSE,,Cache,,,,
CacheGetAll,Cache,FALSE,,Cache,,,,
CacheGetAllIds,Cache,FALSE,,Cache,,,,
CacheGetDefaultCacheName,Cache,FALSE,,Cache,,,,
CacheGetMetadata,Cache,FALSE,,Cache,,,,
CacheGetProperties,Cache,FALSE,,Cache,,,,
CacheIdExists,Cache,FALSE,,Cache,,,,
CacheKeyExists,Cache,FALSE,,Cache,,,,
CachePut,Cache,FALSE,,Cache,,,,
CacheRemove,Cache,FALSE,,Cache,,,,
CacheRemoveAll,Cache,FALSE,,Cache,,,,
CacheSetProperties,Cache,FALSE,,Cache,,,,
CallStackDump,Debug,TRUE,,Debug,,,,
CallStackGet,Debug,TRUE,,Debug,,,,
Canonicalize,String,FALSE,,String,"Careful on this. ""canonicalise *for what*?"" Can't just be a string method7",,,This might need to be in ESAPI since it is not just string related
Ceiling,Number,TRUE,,Number,,,,
Cfusion_decrypt,,FALSE,,,Do not implement,,,
Cfusion_encrypt,,FALSE,,,Do not implement,,,
CharsetDecode,Binary,TRUE,,Binary,,,lucee.util.Binary,
CharsetEncode,Binary,TRUE,,Binary,,,lucee.util.Binary,
Chr,String,TRUE,,String,,,,
CJustify,String,TRUE,,String,Do not implement,,,
CollectionEach,Collection,FALSE,,Collection,An interface which other types implement,,,
CollectionEvery,Collection,FALSE,,Collection,,,,
CollectionFilter,Collection,FALSE,,Collection,,,,
CollectionMap,Collection,FALSE,,Collection,,,,
CollectionReduce,Collection,FALSE,,Collection,,,,
CollectionSome,Collection,FALSE,,Collection,,,,
Compare,String,TRUE,,Comparable,An interface which other types implement,,,
CompareNoCase,String,TRUE,,String,,,,
ComponentCacheClear,System,TRUE,,System,,,,
ComponentCacheList,System,TRUE,,System,,,,
ComponentInfo,System,TRUE,,,Do not implement,,,
Compress,File,TRUE,,Compressable,An interface which other types implement,,,
ContractPath,File,TRUE,,File,"Use a different word. Ambiguous as to whether ""contract"" is a noun or a verb. Perhaps ""collapsePath()""",,,
Cos,Math,TRUE,,Math,,,,
CreateDate,DateTime,TRUE,,DateTime,DateTime.newDate(),,,
CreateDateTime,DateTime,TRUE,,DateTime,DateTime.newDateTime(),,,
CreateDynamicProxy,Java,TRUE,,Java,Unsure about this,,,
CreateGUID,Identity,TRUE,,Identity,,,,
CreateObject,Object,TRUE,,,"Do not implement, just use new",,,
CreateODBCDate,DateTime,TRUE,,,Do not implement,,,
CreateODBCDateTime,DateTime,TRUE,,,Do not implement,,,
CreateODBCTime,DateTime,TRUE,,,Do not implement,,,
CreateTime,DateTime,TRUE,,DateTime,,,,
CreateTimeSpan,DateTime,TRUE,,DateTime,,,,
CreateUniqueId,Identity,TRUE,,Identity,,,,
CreateUUID,Identity,TRUE,Identity::createUuid(),Identity,,,,
CSRFGenerateToken,Csrf,TRUE,,Csrf,Unsure,,,
CSRFVerifyToken,Csrf,TRUE,,Csrf,,,,
CtCacheClear,System,TRUE,,LuceeServer,,,,
CtCacheList,System,TRUE,,LuceeServer,,,,
DatasourceFlushMetaCache,System,TRUE,,LuceeServer,,,,
DateAdd,DateTime,TRUE,,DateTime,These can be used as member functions but some cant... might as well add them to the DateTime object,,,
